TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-059358-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/04/2021,,,,,,,,,,,,,,,,,,,
DESIGN: 02_059358c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_059358c\worklib\02_059358c_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
56,1,E033966,RES SMD 49.9K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 49.9K,R0402,0.1,N/A,1/16W,R14,PANASONIC, ERA-2AEB4992X,REL,N/A,N/A,N/A,N/A,N/A,?,?
57,2,E018865,RES SMD 82.5 Ohm 0.1% 1/10W 0603 AEC-Q200 HIGH RELIABILITY,82.5,R0603,0.1,N/A,1/10W,"R15,R16",PANASONIC, ERA-3AEB82R5V,REL,N/A,N/A,N/A,N/A,7008438,?,?
58,1,E014275,RES SMD 15K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 15K,R0402,0.1,N/A,1/16W,R17,PANASONIC, ERA-2AEB153X,REL,N/A,N/A,N/A,N/A,7006232,?,?
60,2,E031657,RES SMD 750 Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY,750,R0402,0.1,N/A,1/16W,"R20,R21",PANASONIC, ERA-2AEB751X,REL,N/A,N/A,N/A,N/A,N/A,?,?
61,2,E033965,RES SMD 374 Ohm 0.1% 1/10W 0402,374,R0402,0.1,N/A,1/10W,"R22,R23",TE CONNECTIVITY, RP73PF1E374RBTDF,REL,N/A,N/A,N/A,N/A,N/A,?,?
62,2,E031286,RES SMD 2K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 2K,R0402,0.1,N/A,1/16W,"R24,R25",PANASONIC, ERA-2AEB202X,REL,N/A,N/A,N/A,N/A,N/A,?,?
63,8,E025232,RES SMD 0 Ohm JUMPER 1/16W 0402,0,R0402,JUMPER,N/A,1/16W,"R27,R32,R35,R59,R60,R68,R71,R73",YAGEO, RC0402JR-070RL,REL,N/A,N/A,N/A,N/A,7008627,?,?
64,1,E028564,RES SMD 210K Ohm 0.1% 1/16W 0402, 210K,R0402,0.1,N/A,1/16W,R28,TE CONNECTIVITY, CPF0402B210KE1,REL,N/A,N/A,N/A,N/A,N/A,?,?
65,1,E003749,RES SMD 1MEG Ohm 1% 1/10W 0402 AEC-Q200, 1MEG,R0402,1,N/A,1/10W,R29,PANASONIC, ERJ-2RKF1004X,REL,A003-0035-002,N/A,N/A,1686_CAB3,N/A,?,?
66,1,E030132,RES SMD 3.9MEG Ohm 1% 1/16W 0402 AEC-Q200, 3.9MEG,R0402,1,N/A,1/16W,R30,VISHAY, CRCW04023M90FKED,REL,N/A,N/A,N/A,N/A,N/A,?,?
67,1,E026317,RES SMD 78.7K Ohm 1% 1/16W 0402 AEC-Q200, 78.7K,R0402,1,N/A,1/16W,R31,VISHAY, CRCW040278K7FKED,REL,N/A,N/A,N/A,N/A,N/A,?,?
68,1,E003596,RES SMD 1.74K Ohm 1% 1/8W 0805 AEC-Q200, 1.74K,R0805,1,N/A,1/8W,R33,PANASONIC, ERJ-6ENF1741V,REL,A003-0027-123,41816JH1626,N/A,N/A,N/A,?,?
70,1,E031655,RES SMD 470K Ohm 1% 1/16W 0402, 470K,R0402,1,N/A,1/16W,R36,YAGEO, RC0402FR-07470KL,REL,N/A,N/A,N/A,N/A,7001209,?,?
71,2,E025036,RES SMD 10MEG Ohm 1% 1/5W 0402 AEC-Q200 HIGH POWER ANTI-SURGE, 10MEG,R0402,1,50V,1/5W,"R37,R38",VISHAY, RCS040210M0FKED,REL,N/A,N/A,N/A,N/A,N/A,?,?
